treatment,replicate,mean_cc
1,1,0.7316982684960286
1,2,0.44261107652968523
1,3,0.23425962316643187
1,4,0.41066836243347443
1,5,0.558988145184296
1,6,0.5660889041096115
1,7,0.46609216064351877
1,8,0.7223046249608668
1,9,0.21303873736397594
1,10,0.625004960158418
1,11,0.465702442089874
1,12,0.32523905653809404
1,13,0.6298068471998924
1,14,0.41781551445741066
1,15,0.4740665901984892
1,16,0.2996957911723385
1,17,0.2686028047350884
1,18,0.18542469523176547
1,19,0.6441612143472455
1,20,0.7123207961292766
1,21,0.4119753347427434
1,22,0.4162255404577305
1,23,0.42564962839861914
1,24,0.508513044284024
1,25,0.2984228267231073
1,26,0.623475653574715
1,27,0.755404790881753
1,28,0.17308285747479885
1,29,0.3358906910364185
1,30,0.5536771877085747
1,31,0.4800603949675379
1,32,0.7980745881388664
1,33,0.3835148547576555
1,34,0.28820901635223956
1,35,0.2686095499801168
1,36,0.5038731858848626
1,37,0.47844187482906875
1,38,0.19436383536361743
1,39,0.09205675757938445
1,40,0.664373784746581
1,41,0.3832104162529544
1,42,0.5456675838821571
1,43,0.5390242125804109
1,44,0.4693856662619784
1,45,0.29206864026153867
1,46,0.5226303001408639
1,47,0.47170362811021826
1,48,0.44978819081198773
1,49,0.6085388297772957
1,50,0.6075178306100776
2,1,0.5522692832842113
2,2,0.8242062798443426
2,3,0.740808739223779
2,4,0.8225467455702399
2,5,0.9303819400706995
2,6,0.622346204773349
2,7,0.7723528777798006
2,8,0.6530104549767628
2,9,0.7441171666130302
2,10,0.7031893291027168
2,11,0.8313647369583876
2,12,0.7167952487025391
2,13,0.810205551122692
2,14,0.7918793166051382
2,15,0.7991775112777855
2,16,0.869407829060943
2,17,0.6960165314809984
2,18,0.8182430812671072
2,19,0.6237506183807013
2,20,0.6678823184296242
2,21,0.7187826392261902
2,22,0.7049988514135279
2,23,0.7851317471551605
2,24,0.721793792055174
2,25,0.7425128211996455
2,26,0.8746848145594213
2,27,0.7573285272236517
2,28,0.8642419131342889
2,29,0.609993273516754
2,30,0.7920972458332521
2,31,0.6208516287983988
2,32,0.6380010950536764
2,33,0.6759655095763354
2,34,0.7896551568759574
2,35,0.8861362865955161
2,36,0.7503413556930103
2,37,0.7048046282097455
2,38,0.7060814466301883
2,39,0.7465381765069566
2,40,0.7195230832190641
2,41,0.5822230892726805
2,42,0.7753945574574664
2,43,0.8840762597388245
2,44,0.7113032787496534
2,45,0.8522107132207534
2,46,0.7921687911348575
2,47,0.7377336764924579
2,48,0.7897873396210379
2,49,0.5585658224608462
2,50,0.8566740074181698
3,1,0.9902117566148002
3,2,0.9984533666846819
3,3,0.9954448229267531
3,4,0.9967971753812508
3,5,0.9955049790143946
3,6,0.9916975203948473
3,7,0.9973507217096389
3,8,0.993582660092122
3,9,0.9929216981352097
3,10,0.9966304200014212
3,11,0.9865839828327498
3,12,0.9916429601417793
3,13,0.9893661105838076
3,14,0.9969784265555806
3,15,0.9926349712321801
3,16,0.9961377325090076
3,17,0.9892899503255237
3,18,0.9928386543708931
3,19,0.9957376949257364
3,20,0.99269902920514
3,21,0.9880890807105626
3,22,0.9959193963368586
3,23,0.9893904084925491
3,24,0.994470415107803
3,25,0.9973310440891515
3,26,0.9950631616063192
3,27,0.9929152451142654
3,28,0.985167813199195
3,29,0.9966764422738447
3,30,0.9961474810289997
3,31,0.9869194268097212
3,32,0.9936718023139196
3,33,0.99329624540365
3,34,0.9893970246967976
3,35,0.9952557051671646
3,36,0.9932328406378869
3,37,0.9920616504850465
3,38,0.9972925445576065
3,39,0.9930777836524459
3,40,0.9902388964505136
3,41,0.9937378785101194
3,42,0.9878950178115138
3,43,0.9946017765667715
3,44,0.9946096627213222
3,45,0.9944343019234176
3,46,0.9864790475531052
3,47,0.991239860258894
3,48,0.995441907397294
3,49,0.9932761246897499
3,50,0.9967199439312038
